date,country,cases,cum_cases,smooth_cases
2022-04-22,All,1,1,NA
2022-04-29,All,2,3,NA
2022-05-01,All,1,4,NA
2022-05-04,All,2,6,2.2857142857142856
2022-05-05,All,2,8,2.5714285714285716
2022-05-07,All,6,14,3
2022-05-08,All,2,16,3.142857142857143
2022-05-09,All,3,19,3.7142857142857144
2022-05-10,All,5,24,3.7142857142857144
2022-05-11,All,2,26,3.4285714285714284
2022-05-12,All,6,32,3.4285714285714284
2022-05-13,All,2,34,3.7142857142857144
2022-05-14,All,4,38,4
2022-05-15,All,2,40,8
2022-05-16,All,5,45,11
2022-05-17,All,7,52,16.571428571428573
2022-05-18,All,30,82,17.714285714285715
2022-05-19,All,27,109,18.857142857142858
2022-05-20,All,41,150,24.285714285714285
2022-05-21,All,12,162,29.428571428571427
2022-05-22,All,10,172,31.428571428571427
2022-05-23,All,43,215,32.57142857142857
2022-05-24,All,43,258,34.285714285714285
2022-05-25,All,44,302,35.42857142857143
2022-05-26,All,35,337,37.57142857142857
2022-05-27,All,53,390,40.42857142857143
2022-05-28,All,20,410,43.142857142857146
2022-05-29,All,25,435,46.857142857142854
2022-05-30,All,63,498,53.57142857142857
2022-05-31,All,62,560,56.42857142857143
2022-06-01,All,70,630,58.142857142857146
2022-06-02,All,82,712,57
2022-06-03,All,73,785,54.857142857142854
2022-06-04,All,32,817,64.42857142857143
2022-06-05,All,17,834,68.85714285714286
2022-06-06,All,48,882,72
2022-06-07,All,129,1011,80.71428571428571
2022-06-08,All,101,1112,79.85714285714286
2022-06-09,All,104,1216,81.85714285714286
2022-06-10,All,134,1350,101.14285714285714
2022-06-11,All,26,1376,101.71428571428571
2022-06-12,All,31,1407,114.71428571428571
2022-06-13,All,183,1590,127.14285714285714
2022-06-14,All,133,1723,136
2022-06-15,All,192,1915,139.28571428571428
2022-06-16,All,191,2106,138.85714285714286
2022-06-17,All,196,2302,149.85714285714286
2022-06-18,All,49,2351,168.71428571428572
2022-06-19,All,28,2379,178.42857142857142
2022-06-20,All,260,2639,193.28571428571428
2022-06-21,All,265,2904,204.57142857142858
2022-06-22,All,260,3164,202.57142857142858
2022-06-23,All,295,3459,203.42857142857142
2022-06-24,All,275,3734,211.85714285714286
2022-06-25,All,35,3769,216
2022-06-26,All,34,3803,222
2022-06-27,All,319,4122,223.71428571428572
2022-06-28,All,294,4416,234.85714285714286
2022-06-29,All,302,4718,238.14285714285714
2022-06-30,All,307,5025,242.42857142857142
2022-07-01,All,353,5378,254.85714285714286
2022-07-02,All,58,5436,263
2022-07-03,All,64,5500,264.7142857142857
2022-07-04,All,406,5906,290.85714285714283
2022-07-05,All,351,6257,295.14285714285717
2022-07-06,All,314,6571,298.85714285714283
2022-07-07,All,490,7061,296.2857142857143
2022-07-08,All,383,7444,303.42857142857144
2022-07-09,All,84,7528,315.2857142857143
2022-07-10,All,46,7574,339.57142857142856
2022-07-11,All,456,8030,310
2022-07-12,All,434,8464,306.57142857142856
2022-07-13,All,484,8948,308
2022-07-14,All,283,9231,308
2022-07-15,All,359,9590,316
2022-07-16,All,94,9684,309.85714285714283
2022-07-17,All,46,9730,299.42857142857144
2022-07-18,All,512,10242,305.85714285714283
2022-07-19,All,391,10633,314.14285714285717
2022-07-20,All,411,11044,310.2857142857143
2022-07-21,All,328,11372,310.14285714285717
2022-07-22,All,417,11789,288.7142857142857
2022-07-23,All,67,11856,289.85714285714283
2022-07-24,All,45,11901,283.2857142857143
2022-07-25,All,362,12263,290
2022-07-26,All,399,12662,285.42857142857144
2022-07-27,All,365,13027,283
2022-07-28,All,375,13402,282.14285714285717
2022-07-29,All,385,13787,278.42857142857144
2022-07-30,All,50,13837,270.14285714285717
2022-07-31,All,39,13876,272.2857142857143
2022-08-01,All,336,14212,263.42857142857144
2022-08-02,All,341,14553,248.85714285714286
2022-08-03,All,380,14933,248.57142857142858
2022-08-04,All,313,15246,247.14285714285714
2022-08-05,All,283,15529,246.85714285714286
2022-08-06,All,48,15577,235.42857142857142
2022-08-07,All,29,15606,220.85714285714286
2022-08-08,All,334,15940,209.85714285714286
2022-08-09,All,261,16201,196.14285714285714
2022-08-10,All,278,16479,196
2022-08-11,All,236,16715,196.28571428571428
2022-08-12,All,187,16902,159
2022-08-13,All,47,16949,153.57142857142858
2022-08-14,All,31,16980,141.71428571428572
2022-08-15,All,73,17053,135.42857142857142
2022-08-16,All,223,17276,136.42857142857142
2022-08-17,All,195,17471,134.71428571428572
2022-08-18,All,192,17663,132.42857142857142
2022-08-19,All,194,17857,146.28571428571428
2022-08-20,All,35,17892,138
2022-08-21,All,15,17907,133.42857142857142
2022-08-22,All,170,18077,130.28571428571428
2022-08-23,All,165,18242,119.85714285714286
2022-08-24,All,163,18405,116.57142857142857
2022-08-25,All,170,18575,117.42857142857143
2022-08-26,All,121,18696,110.85714285714286
2022-08-27,All,12,18708,104.28571428571429
2022-08-28,All,21,18729,100.42857142857143
2022-08-29,All,124,18853,90.42857142857143
2022-08-30,All,119,18972,86.71428571428571
2022-08-31,All,136,19108,87.28571428571429
2022-09-01,All,100,19208,85.71428571428571
2022-09-02,All,95,19303,79
2022-09-03,All,16,19319,77.28571428571429
2022-09-04,All,10,19329,72.85714285714286
2022-09-05,All,77,19406,71.42857142857143
2022-09-06,All,107,19513,68.57142857142857
2022-09-07,All,105,19618,68.42857142857143
2022-09-08,All,90,19708,67.57142857142857
2022-09-09,All,75,19783,68
2022-09-10,All,15,19798,62.142857142857146
2022-09-11,All,4,19802,56.714285714285715
2022-09-12,All,80,19882,54.285714285714285
2022-09-13,All,66,19948,51
2022-09-14,All,67,20015,50.285714285714285
2022-09-15,All,73,20088,50.142857142857146
2022-09-16,All,52,20140,44
2022-09-17,All,10,20150,44
2022-09-18,All,3,20153,39.142857142857146
2022-09-19,All,37,20190,35.57142857142857
2022-09-20,All,66,20256,33
2022-09-21,All,33,20289,32
2022-09-22,All,48,20337,32.714285714285715
2022-09-23,All,34,20371,33
2022-09-24,All,3,20374,29.142857142857142
2022-09-25,All,8,20382,30.428571428571427
2022-09-26,All,39,20421,27.571428571428573
2022-09-27,All,39,20460,26.714285714285715
2022-09-28,All,42,20502,27.142857142857142
2022-09-29,All,28,20530,26.142857142857142
2022-09-30,All,28,20558,22.857142857142858
2022-10-01,All,6,20564,20.714285714285715
2022-10-02,All,1,20565,18.571428571428573
2022-10-03,All,16,20581,17.857142857142858
2022-10-04,All,24,20605,17.428571428571427
2022-10-05,All,27,20632,16.714285714285715
2022-10-06,All,23,20655,17
2022-10-07,All,25,20680,17.857142857142858
2022-10-08,All,1,20681,19.428571428571427
2022-10-09,All,3,20684,16.571428571428573
2022-10-10,All,22,20706,16.571428571428573
2022-10-11,All,35,20741,14.571428571428571
2022-10-12,All,7,20748,14.714285714285714
2022-10-13,All,23,20771,16.142857142857142
2022-10-14,All,11,20782,14.714285714285714
2022-10-16,All,2,20784,10.714285714285714
2022-10-17,All,13,20797,11.571428571428571
